Start Date,End Date,VIN,Repair Description,Repair Cost,Repair Status,Vendor Name,Vendor Phone,Vendor Street Address,Vendor City,Vendor State,Vendor ZIP,Recall NTHSA,Recall Description,Manufacturer,
1/14/2019,1/18/2019,QNGJBXZ0ZPN690169,install curtain airbags; install smoked glass; ,51.26,in progress,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,06V445000, ON CERTAIN SPORT UTILITY VEHICLES  DURING STATIC AIR BAG DEPLOYMENT TESTING CONDUCTED BY NHTSA ,Hyundai,11
1/14/2019,1/17/2019,VROU7UEWYWK097688,configure universal remote control; adjust turn signals; ,29.08,pending,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,,12
1/16/2019,1/19/2019,C1OCSTQ1VP0823459,repair direct injection system; install anti-theft alarm; ,118.73,pending,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,,13
1/17/2019,1/19/2019,EAJW0OF78HV386515,repair seatbelt force limiters; ,16.29,completed,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,,,,14
1/17/2019,3/25/2019,2CEDOZQS3WI014174,improve engine performance; adjust adaptive cruise control; ,4118.68,completed,Newex,3321611463,6781 14-street,Durham,WI,50395,,,,15
1/17/2019,1/17/2019,AKHFEO0D1D4893889,fix a-pillar; ,51.03,pending,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,15V504000, Mitsubishi Fuso Truck of America  Inc. (MFTA) is recalling certain model year 2012-2016 FEC52 v,Mitsubishi,16
1/19/2019,2/11/2019,7Y1EAHONCCS732936,replace radiator hoses; replace radiator core & ac condenser; ,1073,pending,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,09E012000, SABERSPORT IS RECALLING 16 270 COMBINATION CORNER AND BUMPER LAMP ASSEMBLIES OF VARIOUS PART NU,Toyota,17
1/19/2019,1/19/2019,RZ64Q4VF3EC682670,install smoked glass; adjust low fuel warning indicator; ,47.64,in progress,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,,18
1/19/2019,1/22/2019,AKHFEO0D1D4893889,fix rear defroster; reduce blind spot; ,204.13,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,,19
1/20/2019,2/27/2019,6HKQMAEQ5PA690783,replace catalytic converter; replace diverter valve; ,664.32,pending,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,,,,20
1/20/2019,1/20/2019,EAJW0OF78HV386515,install dusk-sensing headlights; install on-board diagnosis system; ,16.29,in progress,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,09V428000, DAIMLER TRUCKS IS RECALLING MODEL YEAR 2009-2010 FREIGHTLINER  AND STERLING VEHICLES EQUIPPED D,Freightliner,21
1/22/2019,1/28/2019,RZ64Q4VF3EC682670,adjust traction control system; adjust retractable mirrors; ,333.51,pending,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,,,,22
1/23/2019,1/25/2019,C1OCSTQ1VP0823459,prevent fuel pump shutoff; reduce blind spot; ,79.15,in progress,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,,23
1/24/2019,1/26/2019,AKHFEO0D1D4893889,replace ace filter; replace ace filter; ,153.1,in progress,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,06E064000, CERTAIN TRADESONIC COMBINATION LAMPS SOLD AS REPLACEMENT LAMPS FOR USE ON THE ABOVE LISTED PASS,Mitsubishi,24
1/24/2019,1/28/2019,EAJW0OF78HV386515,change speaker configuration; change timing belt; ,81.43,in progress,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,06V205000, CERTAIN HEAVY TRUCKS  SHUTTLE BUSES  AND  SCHOOL BUSES EQUIPPED WITH BENDIX MODULATED SPRING BR,Freightliner,25
1/24/2019,3/29/2019,GB5EB3AIUD0242483,change brake linings; replace crankcase ventilation filter; ,235.3,in progress,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,,26
1/25/2019,1/27/2019,MW6HGX7M6O4186962,change brake linings; install curtain airbags; ,102.78,pending,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,,,,27
1/25/2019,2/14/2019,XK51E6IAGWW949280,check drive axle boots; change timing belt; ,57.06,pending,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,,,,28
1/25/2019,2/14/2019,L2G40AKW0DV261314,adjust running boards; replace catalytic converter; ,117.85,pending,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,,29
1/25/2019,2/1/2019,EMARJQJLUEI221810,attach spoiler; fix a-pillar; ,154.42,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,,30
1/26/2019,2/28/2019,VSGK3RYW2TC911641,change oil filter; repair shiftable automatic transmission; ,340.05,pending,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,,,,31
1/26/2019,4/20/2019,I7CVVBU08H1044370,attach spoiler; set up satellite radio; ,17.42,completed,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,,32
1/26/2019,2/1/2019,8HJHTFE0FGU264640,set up satellite radio; change suspension fluid; ,132.53,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,,33
1/27/2019,2/12/2019,UEHE08QS622862172,add knee airbags; adjust low fuel warning indicator; ,17.42,pending,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,,34
1/28/2019,1/29/2019,AKHFEO0D1D4893889,fix sunroof; adjust regenerative braking; ,102.07,completed,Cancity,4137272403,445 10-street,Dallas,TX,44164,12V524000, Mitsubishi Fuso Truck of America (MFTA) is recalling certain model year 2012-2013 FEC52  FEC72 ,Mitsubishi,35
1/28/2019,2/1/2019,IB3FDW7VPTE357125,improve cylinder configuration; attach seat extension; ,18.86,completed,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,,36
1/28/2019,1/31/2019,C1OCSTQ1VP0823459,reduce carbon footprint; fix rear hvac; ,79.15,pending,Rundofase,6976505267,175 12-street,Seattle,WA,8511,,,,37
1/29/2019,1/29/2019,QNGJBXZ0ZPN690169,replace crankcase ventilation filter; change suspension fluid; ,25.63,completed,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,17V359000, Hyundai Motor America (Hyundai) is recalling certain 2015-2016 Sonata and Genesis vehicles.  In,Hyundai,38
1/30/2019,2/15/2019,ZIYO5EKWDKS246902,change wheel cylinders; repair direct injection system; ,205.28,pending,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,,,,39
1/30/2019,1/30/2019,AKHFEO0D1D4893889,replace tail lights; change pcv filter/pcv valve; ,51.03,in progress,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,,40
1/30/2019,2/18/2019,QNGJBXZ0ZPN690169,adjust retractable mirrors; adjust ignition timing; ,486.95,completed,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,,41
1/31/2019,2/2/2019,ZS1SXM3GTO8957023,repair seatbelt force limiters; fix solar sunroof; ,87.25,completed,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,,42
2/1/2019,2/2/2019,MW6HGX7M6O4186962,attach seat extension; reduce blind spot; ,68.52,pending,Rundofase,6976505267,175 12-street,Seattle,WA,8511,17V389000, Aston Martin The Americas (Aston Martin) is recalling certain 2011-2012 V8 Vantage vehicles.  T,Aston,43
2/2/2019,2/3/2019,AKHFEO0D1D4893889,change wheel cylinders; replace brake pedal spring; ,51.03,completed,Newex,3321611463,6781 14-street,Durham,WI,50395,,,,44
2/3/2019,2/9/2019,IB3FDW7VPTE357125,adjust hybrid performance; fix broken tow hooks; ,37.72,in progress,Rundofase,6976505267,175 12-street,Seattle,WA,8511,19V090000, Ferrari North America  Inc. (Ferrari) is recalling certain 2017 LaFerrari Aperta  2018-2019 488,Ferrari,45
2/3/2019,2/16/2019,1D377TZAWSW801985,add knee airbags; adjust climate control; ,381.69,pending,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,,46
2/3/2019,2/5/2019,H0SVSC0X1W0660350,fix external temperature display; reduce fuel consumption; ,158.6,completed,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,00V371000,VEHICLE DESCRIPTION:  PASSENGER VEHICLES.  SOME OF THESE VEHICLES EXHIBIT A CONDITION IN WHICH T,Chevrolet,47
2/4/2019,2/10/2019,MW6HGX7M6O4186962,install dusk-sensing headlights; repair direct injection system; ,205.57,completed,Rundofase,6976505267,175 12-street,Seattle,WA,8511,,,,48
2/4/2019,2/4/2019,ZS1SXM3GTO8957023,attach exterior camera; replace crankcase ventilation filter; ,29.08,pending,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,,49
2/5/2019,2/19/2019,ZS1SXM3GTO8957023,install intelligent alternator; adjust block heater; ,58.17,pending,Newex,3321611463,6781 14-street,Durham,WI,50395,,,,50
2/6/2019,6/18/2019,23XI32P0M0K897737,fix deceleration system; replace stabilizer bar; ,761.97,completed,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,,51
2/6/2019,2/18/2019,SGEAZM7OHRE981138,check drive axle boots; install turbocharger; ,177.94,in progress,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,,52
2/6/2019,2/6/2019,C1OCSTQ1VP0823459,install optional equipment; change speaker configuration; ,39.58,pending,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,03V509000, ON CERTAIN VEHICLES  THE HEADLAMP ADJUSTMENT MECHANISM MAY BE OPERATED WITHOUT SUITABLE INSTRUC,Jaguar,53
2/7/2019,2/18/2019,EMARJQJLUEI221810,fix nvh dampening system; ,386.05,completed,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,,54
2/7/2019,2/21/2019,AI51SMWRVBH997689,fix power activated release; change timing belt; ,142.41,completed,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,,55
2/9/2019,2/11/2019,XLHSC830B4B709486,reduce carbon footprint; install separate rear audio; ,161.04,pending,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,,56
2/10/2019,2/12/2019,XG2F8AZ3DKK768039,change brake linings; adjust climate control; ,17.5,in progress,Newex,3321611463,6781 14-street,Durham,WI,50395,13V114000, Kia Motors Corporation (Kia) is recalling certain model year 2007-2010 Rondo  model year 2007-2,Kia,57
2/10/2019,2/10/2019,2KANK83IC2A444270,change speaker configuration; adjust retractable mirrors; ,41.57,in progress,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,,58
2/10/2019,2/12/2019,38ZSAKVC20U930606,attach exterior camera; change wheel cylinders; ,14.72,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,14V753000, Aston Martin Lagonda of North America (Aston Martin) is recalling certain model year 2006-2014 ,Aston,59
2/11/2019,2/24/2019,7FT34LPXEKD855738,fix external temperature display; correct abs; ,278.93,completed,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,,60
2/12/2019,2/17/2019,XOBOW6AU18A917853,fix broken tow hooks; refurbish power steering; ,90.05,in progress,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,,61
2/12/2019,2/23/2019,2KANK83IC2A444270,replace catalytic converter; replace crankcase ventilation filter; ,83.15,completed,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,,,,62
2/12/2019,2/17/2019,E64AFHYM7CM667399,install separate rear audio; adjust low fuel warning indicator; ,107.95,pending,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,,63
2/13/2019,3/13/2019,22420XMJ47N471618,change purge valve; ,337.14,completed,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,,64
2/13/2019,2/14/2019,H0SVSC0X1W0660350,fix sunroof; fix ventilated seats; ,158.6,completed,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,,65
2/14/2019,2/17/2019,MW6HGX7M6O4186962,fix nvh dampening system; fix steering damper; ,137.05,in progress,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,,,,66
2/15/2019,2/16/2019,EFUWNBMO3TM316916,change purge valve; configure audio remote control; ,41.7,pending,Cancity,4137272403,445 10-street,Dallas,TX,44164,11V510000, LOTUS IS RECALLING CERTAIN MODEL YEAR 2005-2007 ELISE AND EXIGE VEHICLES MANUFACTURED FROM JUNE,Lotus,67
2/15/2019,2/17/2019,SX73Y7QKKQF628146,adjust retractable mirrors; fix ventilated seats; ,34.84,pending,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,,68
2/15/2019,2/17/2019,1EW5SWZMNBU661507,repair cooled seats; set up auto-delay headlights; ,25.78,in progress,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,04V133000, ON CERTAIN PASSENGER VEHICLES  IF A DRIVER'S KNEES PUSH AGAINST THE KNEE BOLSTER (CRASH ELEMENT,Audi,69
2/16/2019,2/20/2019,WJENS213H4U188325,attach seat extension; set up satellite radio; ,90.1,pending,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,,70
2/16/2019,2/23/2019,VP0U4FNOL1Q272112,change memory settings of the onboard computer; correct abs; ,166.85,in progress,Rundofase,6976505267,175 12-street,Seattle,WA,8511,,,,71
2/16/2019,2/24/2019,2TN1NJUXESG344969,change pcv filter/pcv valve; install smoked glass; ,444.9,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,,72
2/17/2019,3/20/2019,KIYTRMRZHSZ939929,set up auto-delay headlights; ,366.73,pending,Newex,3321611463,6781 14-street,Durham,WI,50395,,,,73
2/18/2019,2/18/2019,EFUWNBMO3TM316916,install dusk-sensing headlights; install active pedestrian protection system; ,20.85,in progress,Newex,3321611463,6781 14-street,Durham,WI,50395,,,,74
2/18/2019,2/18/2019,H0SVSC0X1W0660350,install vanity mirrors; repair shiftable automatic transmission; ,79.3,in progress,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,,75
2/18/2019,2/25/2019,XUV6JR4Q8SX652578,replace stabilizer bar; change oil filter; ,10.13,pending,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,06V328000, DURING A CANADIAN COMPLIANCE TEST  CERTAIN SPORT UTILITY VEHICLES FAIL TO COMPLY WITH THE REQUI,INFINITI,76
2/19/2019,2/24/2019,H0SVSC0X1W0660350,repair direct injection system; set up gyro sensor; ,396.5,completed,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,,,,77
2/19/2019,2/20/2019,SX73Y7QKKQF628146,repair seatbelt force limiters; fix external temperature display; ,34.84,pending,Rundofase,6976505267,175 12-street,Seattle,WA,8511,,,,78
2/19/2019,2/21/2019,MW6HGX7M6O4186962,adjust adaptive cruise control; install optional equipment; ,68.52,completed,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,,,,79
2/20/2019,2/23/2019,ZS1SXM3GTO8957023,change speaker configuration; attach seat extension; ,87.25,completed,Rundofase,6976505267,175 12-street,Seattle,WA,8511,,,,80
2/20/2019,3/14/2019,V4JVFR4YRS7140562,change pcv filter/pcv valve; set up auto-delay headlights; ,715.07,pending,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,,81
2/21/2019,2/23/2019,BNWE37HKK6A465562,refurbish power steering; fix rear defroster; ,47.43,completed,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,,82
2/21/2019,3/3/2019,ZIYO5EKWDKS246902,prevent fuel pump shutoff; ,684.28,completed,Newex,3321611463,6781 14-street,Durham,WI,50395,,,,83
2/21/2019,2/28/2019,LAW66TO51NY340329,fix nvh dampening system; make polarization coating; ,14.56,pending,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,,,,84
2/22/2019,2/26/2019,E64AFHYM7CM667399,replace crankcase ventilation filter; ,89.95,pending,Newex,3321611463,6781 14-street,Durham,WI,50395,,,,85
2/22/2019,2/24/2019,426W8PU85BH593514,fix cylinder head bolts; change purge valve; ,24.15,completed,Rundofase,6976505267,175 12-street,Seattle,WA,8511,,,,86
2/22/2019,2/26/2019,XOBOW6AU18A917853,improve engine performance; adjust reverse tilt mirrors; ,22.51,pending,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,,,,87
2/22/2019,3/3/2019,IOCT8QVK86C997015,correct abs; replace radiator core & ac condenser; ,141.32,pending,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,,88
2/23/2019,2/23/2019,SX73Y7QKKQF628146,adjust turn signals; change speaker configuration; ,17.42,pending,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,,89
2/23/2019,2/25/2019,EFUWNBMO3TM316916,install on-board diagnosis system; ,20.85,completed,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,,,,90
2/23/2019,3/1/2019,QNGJBXZ0ZPN690169,improve cylinder configuration; ,128.15,completed,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,,,,91
2/23/2019,2/28/2019,AI51SMWRVBH997689,install vanity mirrors; set up gyro sensor; ,35.6,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,,92
2/24/2019,2/24/2019,SX73Y7QKKQF628146,reconfigure service reminder light; adjust adaptive cruise control; ,17.42,completed,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,,93
2/24/2019,3/1/2019,JVUFO2OOZH6501609,adjust adaptive cruise control; adjust seat belts tension; ,167.91,in progress,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,,,,94
2/24/2019,2/24/2019,ZS1SXM3GTO8957023,refurbish power steering; install optional equipment; ,29.08,completed,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,,,,95
2/24/2019,3/1/2019,MW6HGX7M6O4186962,install dusk-sensing headlights; adjust ignition timing; ,68.52,in progress,Newex,3321611463,6781 14-street,Durham,WI,50395,14V753000, Aston Martin Lagonda of North America (Aston Martin) is recalling certain model year 2006-2014 ,Aston,96
2/25/2019,3/29/2019,7Y1EAHONCCS732936,replace liftgate window; refurbish power steering; ,1430.67,in progress,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,,97
2/25/2019,3/9/2019,2TN1NJUXESG344969,reduce carbon footprint; replace stabilizer bar; ,444.9,completed,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,09V277000, SUBARU IS RECALLING 15 761 MY 2005-2006 BAJA VEHICLES. CRACKS MAY DEVELOP IN THE FUEL HOSE CONN,Subaru,98
2/25/2019,3/1/2019,XK51E6IAGWW949280,reduce fuel consumption; adjust block heater; ,57.06,completed,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,05V353000,CERTAIN SPORT UTILITY VEHICLES MAY EXPERIENCE A FUEL LEAK FROM FUEL TUBES NEAR THE FUEL TANK DUE,Kia,99
2/25/2019,2/25/2019,ZS1SXM3GTO8957023,replace liftgate window; adjust traction control system; ,29.08,pending,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,,,,100
2/25/2019,2/27/2019,2KANK83IC2A444270,change purge valve; add knee airbags; ,41.57,completed,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,,101
2/25/2019,3/2/2019,H0SVSC0X1W0660350,repair seatbelt force limiters; change coolant; ,237.9,in progress,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,,102
2/25/2019,2/26/2019,SX73Y7QKKQF628146,adjust accelerator pedal linkage; ,17.42,completed,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,,103
2/25/2019,3/2/2019,XLHSC830B4B709486,replace crankcase ventilation filter; adjust climate control; ,268.39,in progress,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,,104
2/25/2019,2/26/2019,VP0U4FNOL1Q272112,replace crankcase ventilation filter; install intelligent alternator; ,66.74,pending,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,,105
2/26/2019,2/26/2019,EFUWNBMO3TM316916,adjust ignition timing; install active pedestrian protection system; ,20.85,completed,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,,,,106
2/26/2019,2/27/2019,IB3FDW7VPTE357125,adjust climate control; adjust low fuel warning indicator; ,37.72,completed,Rundofase,6976505267,175 12-street,Seattle,WA,8511,,,,107
2/26/2019,4/19/2019,1D377TZAWSW801985,configure universal remote control; adjust adaptive cruise control; ,31.81,completed,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,,108
2/26/2019,2/26/2019,426W8PU85BH593514,improve cylinder configuration; improve engine performance; ,24.15,pending,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,,109
2/26/2019,3/4/2019,K23GQ1HYKID336715,change timing belt; ,154.42,completed,Zoomit,8570724614,7392 11-street,Norfolk,NC,72802,,,,110
2/27/2019,3/5/2019,1RQR2NON75E373495,change steering rack; fix external temperature display; ,65.17,pending,Rundofase,6976505267,175 12-street,Seattle,WA,8511,,,,111
2/27/2019,3/2/2019,7FT34LPXEKD855738,adjust retractable mirrors; add knee airbags; ,55.79,completed,Rundofase,6976505267,175 12-street,Seattle,WA,8511,09V357000, DAIMLER TRUCKS IS RECALLING CERTAIN MODEL YEAR 2005 THROUGH 2010 HEAVY DUTY TRUCKS MANUFACTURED,Freightliner,112
2/27/2019,4/4/2019,CHA3G8GE21K992177,adjust climate control; repair cooled seats; ,2242.78,pending,Rundofase,6976505267,175 12-street,Seattle,WA,8511,,,,113
2/27/2019,2/28/2019,VP0U4FNOL1Q272112,change speaker configuration; attach spoiler; ,66.74,completed,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,08V016000, CERTAIN MOTOR HOME CHASSIS BUILT ON FREIGHTLINER CHASSIS AND EQUIPPED WITH ZF MODEL 8018 STEERI,Alfa,114
2/27/2019,3/13/2019,XUV6JR4Q8SX652578,refurbish power steering; set up auto-delay headlights; ,131.65,pending,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,,115
2/27/2019,3/9/2019,L2G40AKW0DV261314,replace diverter valve; change memory settings of the onboard computer; ,117.85,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,,116
2/27/2019,3/4/2019,XG2F8AZ3DKK768039,repair seatbelt force limiters; ,52.51,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,,117
2/28/2019,3/8/2019,E64AFHYM7CM667399,fix cylinder head bolts; attach seat extension; ,125.94,completed,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,,,,118
2/28/2019,2/28/2019,X7PFFGNBSQI524327,change memory settings of the onboard computer; make polarization coating; ,136.73,in progress,Toughzap,4602643035,6477 19-street,Bakersfield,FL,28366,,,,119
2/28/2019,3/1/2019,SX73Y7QKKQF628146,prevent fuel pump shutoff; fix broken tow hooks; ,17.42,in progress,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,,120
3/1/2019,3/2/2019,LAW66TO51NY340329,fix power activated release; ,14.56,in progress,Rundofase,6976505267,175 12-street,Seattle,WA,8511,18V042000, Honda (American Honda Motor Co.) is recalling certain 2010-2013 Acura TSX  ZDX  Honda Accord Cr,Honda,121
3/2/2019,3/2/2019,6HKQMAEQ5PA690783,change steering rack; make polarization coating; ,44.29,in progress,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,,,,122
3/2/2019,3/2/2019,IB3FDW7VPTE357125,fix air filter restriction indicator; add knee airbags; ,18.86,in progress,Rundofase,6976505267,175 12-street,Seattle,WA,8511,18V188000, Ferrari North America  Inc. (Ferrari) is recalling certain 2009-2011 Ferrari California  and 20,Ferrari,123
3/2/2019,3/2/2019,SX73Y7QKKQF628146,change air conditioner refrigerant; adjust retractable mirrors; ,17.42,in progress,Rundofase,6976505267,175 12-street,Seattle,WA,8511,,,,124
3/3/2019,3/6/2019,MW6HGX7M6O4186962,replace ace filter; replace serpentine belt; ,34.26,pending,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,,,,125
3/3/2019,3/6/2019,XOBOW6AU18A917853,change pcv filter/pcv valve; upgrade navigation system; ,67.54,pending,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,,,,126
3/3/2019,3/5/2019,VP0U4FNOL1Q272112,fix steering damper; make polarization coating; ,66.74,completed,Newex,3321611463,6781 14-street,Durham,WI,50395,05V248000, ON CERTAIN FIFTH WHEEL TRAILERS  THE EMERGENCY/BREAKAWAY BRAKE SYSTEM WIRING WAS CHANGED. ,Alfa,127
3/3/2019,3/4/2019,IB3FDW7VPTE357125,fix rear hvac; install smoked glass; ,18.86,pending,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,,128
3/4/2019,3/4/2019,XLHSC830B4B709486,change timing belt; change oil filter; ,53.68,completed,Cancity,4137272403,445 10-street,Dallas,TX,44164,,,,129
3/4/2019,3/5/2019,H0SVSC0X1W0660350,add knee airbags; install dusk-sensing headlights; ,158.6,pending,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,,,,130
3/4/2019,3/11/2019,VSGK3RYW2TC911641,adjust traction control system; replace tail lights; ,45.34,in progress,Zencorporation,1034092507,6712 7-street,Jacksonville,FL,73886,02V238000, CERTAIN HEAVY DUTY CLASS 8 TRUCKS FAIL TO COMPLY WITH THE REQUIREMENTS OF FEDERAL MOTOR VEHICLE,Volvo,131
3/4/2019,3/20/2019,6HKQMAEQ5PA690783,install turbocharger; improve cylinder configuration; ,265.73,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,,132
3/4/2019,3/5/2019,7FT34LPXEKD855738,replace timing belt tensioner; fix external temperature display; ,27.89,pending,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,,133
3/4/2019,3/28/2019,EBZZN84J0L1163524,replace water pump; ,1287.98,completed,Zumgoity,3587340254,5992 11-street,Stockton,OH,46220,,,,134
3/5/2019,3/19/2019,6D300ABH65P725391,adjust climate control; install roof spoiler; ,459.95,completed,Fasehatice,158952124,2139 14-street,Chandler,TX,62809,,,,135
